unidadNegocio,fechaRegistro,grupoContable,cuenta,moneda,importe,unidadOperativa,departamento,negocio,proyecto
OMEGA,"",REAL,"","",0,"",2600,"",""
OMEGA,01/08/2022,REAL,1011007027,MXN,5000,"","","",""
OMEGA,01/08/2022,REAL,1117001001,MXN,-5125,13600,2600,"",""
OMEGA,01/08/2022,REAL,1117009009,MXN,-20.04,13600,2600,"",""
OMEGA,01/08/2022,REAL,2023001013,MXN,20.04,13600,2600,"",""
OMEGA,01/08/2022,REAL,2610001001,MXN,117.19,13600,2600,"",""
OMEGA,01/08/2022,REAL,4610001009,MXN,7.81,13600,2600,ADMON,OMEGA(CSG)
OMEGA,02/08/2022,REAL,1011007027,MXN,5000,"","","",""
OMEGA,02/08/2022,REAL,1117001001,MXN,-5000,13600,2600,"",""
OMEGA,02/08/2022,REAL,2610001001,MXN,-93.75,13600,2600,"",""
OMEGA,02/08/2022,REAL,4610001009,MXN,93.75,13600,2600,ADMON,OMEGA(CSG)
OMEGA,04/08/2022,REAL,1225001002,MXN,-250,13600,2600,"",""
OMEGA,04/08/2022,REAL,2023001015,MXN,40,13600,2600,"",""
OMEGA,04/08/2022,REAL,2610001001,MXN,-41.67,13600,2600,"",""
OMEGA,04/08/2022,REAL,4610001009,MXN,41.67,13600,2600,ADMON,OMEGA(CSG)
OMEGA,04/08/2022,REAL,4610001012,MXN,250,13600,2600,ADMON,OMEGA(CSG)
OMEGA,05/08/2022,REAL,2610001001,MXN,-23.96,13600,2600,"",""
OMEGA,05/08/2022,REAL,4610001009,MXN,23.96,13600,2600,ADMON,OMEGA(CSG)
OMEGA,"",REAL,"","",0,"",2600,"",""
OMEGA,04/08/2022,REAL,1117001003,MXN,-344.44,13621,2600,"",""
OMEGA,04/08/2022,REAL,1117001110,MXN,0,13621,2600,"",""
OMEGA,04/08/2022,REAL,1117009001,MXN,-47.95,13621,2600,"",""
OMEGA,04/08/2022,REAL,2023001006,MXN,47.95,13621,2600,"",""
OMEGA,04/08/2022,REAL,4610001001,MXN,299.69,13621,2600,ADMON,OMEGA(CSG)
OMEGA,04/08/2022,REAL,4610002001,MXN,44.75,13621,2600,ADMON,OMEGA(CSG)
OMEGA,05/08/2022,REAL,1117001003,MXN,-355.56,13621,2600,"",""
OMEGA,05/08/2022,REAL,1117001110,MXN,0,13621,2600,"",""
OMEGA,05/08/2022,REAL,1117009001,MXN,-49.510000000000005,13621,2600,"",""
OMEGA,05/08/2022,REAL,2023001006,MXN,49.510000000000005,13621,2600,"",""
OMEGA,05/08/2022,REAL,4610001001,MXN,309.46,13621,2600,ADMON,OMEGA(CSG)
OMEGA,05/08/2022,REAL,4610002001,MXN,46.1,13621,2600,ADMON,OMEGA(CSG)
